Dataset,Max_Rules,Coverage_Threshold,Min_Improvement,Target_Metric,Accuracy,N_Rules,N_Conditions,N_Unique_Conditions,Train_Time
appendicitis,5,0.01,0.01,purity,0.7727272727272727,5,0.2,1,0.017043113708496094
appendicitis,10,0.01,0.01,purity,0.7727272727272727,10,0.2,2,0.06872200965881348
appendicitis,15,0.01,0.01,purity,0.7727272727272727,15,0.2,3,0.14504599571228027
appendicitis,20,0.01,0.01,purity,0.7727272727272727,20,0.2,4,0.24955439567565918
appendicitis,30,0.01,0.01,purity,0.7727272727272727,30,0.2,6,0.5591182708740234
appendicitis,15,0.0,0.01,purity,0.7727272727272727,15,0.2,3,0.14128947257995605
appendicitis,15,0.03,0.01,purity,0.7727272727272727,15,0.2,3,0.14161252975463867
appendicitis,15,0.05,0.01,purity,0.7727272727272727,15,0.26666666666666666,4,0.15752601623535156
appendicitis,15,0.1,0.01,purity,0.7727272727272727,15,0.3333333333333333,5,0.17275142669677734
appendicitis,15,0.01,0.0,purity,0.7727272727272727,15,0.2,3,0.13985872268676758
appendicitis,15,0.01,0.005,purity,0.7727272727272727,15,0.2,3,0.14091944694519043
appendicitis,15,0.01,0.02,purity,0.7727272727272727,15,0.2,3,0.14082789421081543
appendicitis,15,0.01,0.05,purity,0.7727272727272727,15,0.2,3,0.14043498039245605
appendicitis,20,0.03,0.01,purity,0.7727272727272727,20,0.25,5,0.2725393772125244
appendicitis,10,0.05,0.005,purity,0.7727272727272727,10,0.2,2,0.06334257125854492
appendicitis,25,0.01,0.005,purity,0.7727272727272727,25,0.2,5,0.39824819564819336
appendicitis,5,0.01,0.01,purity,0.8095238095238095,5,0.2,1,0.015506982803344727
appendicitis,10,0.01,0.01,purity,0.8095238095238095,10,0.2,2,0.06293582916259766
appendicitis,15,0.01,0.01,purity,0.8095238095238095,15,0.2,3,0.14148902893066406
appendicitis,20,0.01,0.01,purity,0.8095238095238095,20,0.2,4,0.2499990463256836
appendicitis,30,0.01,0.01,purity,0.8095238095238095,30,0.16666666666666666,5,0.5306777954101562
appendicitis,15,0.0,0.01,purity,0.8095238095238095,15,0.2,3,0.140533447265625
appendicitis,15,0.03,0.01,purity,0.8095238095238095,15,0.2,3,0.14175868034362793
appendicitis,15,0.05,0.01,purity,0.8095238095238095,15,0.2,3,0.14339375495910645
appendicitis,15,0.1,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.19262242317199707
appendicitis,15,0.01,0.0,purity,0.8095238095238095,15,0.2,3,0.15516328811645508
appendicitis,15,0.01,0.005,purity,0.8095238095238095,15,0.2,3,0.15488266944885254
appendicitis,15,0.01,0.02,purity,0.8095238095238095,15,0.2,3,0.15536189079284668
appendicitis,15,0.01,0.05,purity,0.8095238095238095,15,0.2,3,0.13904571533203125
appendicitis,20,0.03,0.01,purity,0.8095238095238095,20,0.25,5,0.2693965435028076
appendicitis,10,0.05,0.005,purity,0.8095238095238095,10,0.2,2,0.0625922679901123
appendicitis,25,0.01,0.005,purity,0.8095238095238095,25,0.2,5,0.38736891746520996
appendicitis,5,0.01,0.01,purity,0.8095238095238095,5,0.2,1,0.017358064651489258
appendicitis,10,0.01,0.01,purity,0.8095238095238095,10,0.2,2,0.06200742721557617
appendicitis,15,0.01,0.01,purity,0.8095238095238095,15,0.2,3,0.13913631439208984
appendicitis,20,0.01,0.01,purity,0.8095238095238095,20,0.2,4,0.24448418617248535
appendicitis,30,0.01,0.01,purity,0.8095238095238095,30,0.16666666666666666,5,0.5260486602783203
appendicitis,15,0.0,0.01,purity,0.8095238095238095,15,0.2,3,0.13773798942565918
appendicitis,15,0.03,0.01,purity,0.8095238095238095,15,0.2,3,0.14024090766906738
appendicitis,15,0.05,0.01,purity,0.8095238095238095,15,0.2,3,0.1403331756591797
appendicitis,15,0.1,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.16924095153808594
