Dataset,Method,Accuracy,Accuracy_Std,N_Rules,N_Conditions,N_Unique_Conditions,Train_Time,Best_Max_Rules,Best_Coverage_Threshold,Best_Min_Improvement,Best_Target_Metric,Config_Frequency
appendicitis,FuzzyCART,0.8021645021645021,0.014718614718614732,5.0,0.2,1.0,0.016609668731689453,5.0,0.01,0.01,purity,1.0
appendicitis,FuzzyCART_Optimized,0.8116883116883118,0.026825858675029717,10.0,0.19333333333333336,1.8,0.11327710151672363,,,,,
appendicitis,CART,0.7255411255411256,0.06557262763207443,10.6,0.9012820512820513,9.6,0.0007115364074707031,,,,,
appendicitis,C4.5,0.745021645021645,0.04959308568526299,10.8,0.9036435786435785,9.8,0.0005907058715820312,,,,,
australian,FuzzyCART,0.8608695652173914,0.01798503426955196,10.0,0.3866666666666666,3.4,0.31496129035949705,5.0,0.01,0.01,purity,0.4
australian,FuzzyCART_Optimized,0.8565217391304347,0.021201070780185214,13.0,0.29333333333333333,3.6,0.40427842140197756,,,,,
australian,CART,0.8115942028985508,0.010247924365022426,58.4,0.9828588633264262,57.4,0.0018051624298095702,,,,,
australian,C4.5,0.8304347826086957,0.02955953341213212,57.6,0.9826214065406591,56.6,0.001754903793334961,,,,,
dermatology,FuzzyCART,0.6844679186228482,0.024563284765606937,18.0,0.06666666666666667,1.2,1.4503923892974853,15.0,0.01,0.01,purity,0.8
dermatology,FuzzyCART_Optimized,0.6676056338028169,0.009915660170338871,16.0,0.06333333333333332,1.0,0.8201579093933106,,,,,
dermatology,CART,0.8687402190923319,0.027126532329956,29.4,0.9659293394777265,28.4,0.0009203433990478515,,,,,
dermatology,C4.5,0.8687402190923319,0.022458122690168635,28.8,0.9651648351648351,27.8,0.0007627487182617187,,,,,
hepatitis,FuzzyCART,0.8375,0.03061862178478973,5.0,0.2,1.0,0.035900211334228514,5.0,0.01,0.01,purity,1.0
hepatitis,FuzzyCART_Optimized,0.85,0.03061862178478973,5.0,0.2,1.0,0.03478507995605469,,,,,
hepatitis,CART,0.8375,0.049999999999999996,7.0,0.8571428571428571,6.0,0.0006602764129638672,,,,,
hepatitis,C4.5,0.9,0.049999999999999996,7.0,0.8547619047619047,6.0,0.0004961967468261718,,,,,
pima,FuzzyCART,0.6510482981071216,0.002079186607913748,5.0,0.52,2.6,0.057681941986083986,5.0,0.01,0.01,purity,1.0
pima,FuzzyCART_Optimized,0.6510482981071216,0.002079186607913748,5.0,0.6799999999999999,3.4,0.06833195686340332,,,,,
pima,CART,0.691452338511162,0.028153177108206688,88.8,0.9887234179145199,87.8,0.0021057605743408205,,,,,
pima,C4.5,0.6940836940836942,0.025174648577115887,90.4,0.9889291572344329,89.4,0.002330303192138672,,,,,
spambase,FuzzyCART,0.8871012915740172,0.009048752037332597,18.0,0.12666666666666665,2.2,13.266095638275146,15.0,0.1,0.01,purity,0.8
spambase,FuzzyCART_Optimized,0.9012447367176042,0.012061141400419534,15.0,0.10666666666666666,1.6,7.602220916748047,,,,,
spambase,CART,0.9079822112882623,0.009532273306335467,201.0,0.9950240336063352,200.0,0.04631195068359375,,,,,
spambase,C4.5,0.9223425746321615,0.008703225117496905,179.6,0.9944274421367704,178.6,0.03042178153991699,,,,,
wine,FuzzyCART,0.9441269841269841,0.046485448813291454,18.0,0.22000000000000003,4.0,0.6502159595489502,5.0,0.01,0.01,purity,0.4
wine,FuzzyCART_Optimized,0.9661904761904762,0.021091409830949964,7.0,0.16,1.0,0.06802597045898437,,,,,
wine,CART,0.8987301587301587,0.05250250446941167,7.6,0.858095238095238,6.6,0.000856781005859375,,,,,
wine,C4.5,0.9207936507936507,0.04962037796914646,7.2,0.8561904761904762,6.2,0.000807952880859375,,,,,
saheart,FuzzyCART,0.6536699392239365,0.0018322503919836588,5.0,0.6,3.0,0.052339029312133786,5.0,0.01,0.01,purity,1.0
saheart,FuzzyCART_Optimized,0.6536699392239365,0.0018322503919836588,5.0,0.5599999999999999,2.8,0.048371505737304685,,,,,
saheart,CART,0.6036699392239365,0.05736994032020487,62.0,0.983818881000676,61.0,0.0016765117645263672,,,,,
saheart,C4.5,0.6471014492753623,0.03405546011100919,62.6,0.983997990004346,61.6,0.0018776893615722657,,,,,
ring,FuzzyCART,0.5986486486486486,0.008330289193201322,5.0,0.4,2.0,0.6937599182128906,5.0,0.01,0.01,purity,1.0
ring,FuzzyCART_Optimized,0.837027027027027,0.009317467122128751,15.0,0.06666666666666667,1.0,3.9420337677001953,,,,,
ring,CART,0.8814864864864864,0.0036661243152028623,302.0,0.9966869157542492,301.0,0.21052589416503906,,,,,
ring,C4.5,0.8882432432432432,0.005548774369634562,265.4,0.9962308540787241,264.4,0.1949331283569336,,,,,
zoo,FuzzyCART,0.7723809523809524,0.03908244672130132,15.0,0.18,2.4,0.286102819442749,10.0,0.01,0.01,purity,0.6
zoo,FuzzyCART_Optimized,0.7723809523809524,0.03908244672130132,15.0,0.18,2.4,0.28753089904785156,,,,,
zoo,CART,0.9504761904761905,0.03163711474642493,8.2,0.8777777777777779,7.2,0.0005733966827392578,,,,,
zoo,C4.5,0.9404761904761905,0.049096138738217165,8.2,0.8777777777777779,7.2,0.00044713020324707033,,,,,
