Dataset,Default_Accuracy,Optimized_Accuracy,Improvement,Relative_Improvement_%
appendicitis,0.8021645021645021,0.8116883116883118,0.009523809523809712,1.1872638963842654
australian,0.8608695652173914,0.8565217391304347,-0.004347826086956719,-0.5050505050505278
dermatology,0.6844679186228482,0.6676056338028169,-0.01686228482003127,-2.4635610174335483
hepatitis,0.8375,0.85,0.012499999999999956,1.4925373134328306
pima,0.6510482981071216,0.6510482981071216,0.0,0.0
spambase,0.8871012915740172,0.9012447367176042,0.014143445143587008,1.5943438790954483
wine,0.9441269841269841,0.9661904761904762,0.022063492063492007,2.336919973100196
saheart,0.6536699392239365,0.6536699392239365,0.0,0.0
ring,0.5986486486486486,0.837027027027027,0.23837837837837839,39.81941309255079
zoo,0.7723809523809524,0.7723809523809524,0.0,0.0
